3257|3320|204201
8657|174|327814
3356|6453|20485
3257|5511|28118
19551|3491|19551
58453|267056|266167
5511|49666|25184
7552|4637|3491
2914|45896|56147
34171|174|3356
40498|209|3912
36866|37662|6939
3356|5603|197796
3257|3320|203278
1299|6762|20485
5511|3215|48703
5511|37662|36866
3257|3320|203325
5511|29571|37577
174|25229|29249
6762|19551|27999
8220|3356|3491
20940|6762|3491
20940|1273|701
11426|81|174
58453|9927|23930
174|22822|19905
5511|5583|51964
328983|37012|327965
3491|4637|38082
12329|15763|3356
5511|30844|37006
3257|3320|200517
6453|2914|55794
6762|3491|33765
3491|9498|45272
1299|24028|131996
36866|8966|2914
3257|5511|33831
6461|4637|45349
174|9498|37616
25184|34513|64414
8359|50340|1299
45896|56147|131381
3257|3320|206899
5511|57344|43561
45499|135607|174
49666|205647|24631
3257|5511|28708
7473|6461|174
3257|5511|37662
174|31287|35621
35753|6453|174
37100|2914|3491
174|8926|15836
3257|5511|36925
5511|9304|132139
29687|1299|174
174|16735|52747
3257|5511|8362
5511|8452|36998
43754|51074|42043
3257|5511|52468
39273|5416|174
3356|16637|36890
34006|3257|6461
3216|197498|31560
43766|6762|2914
197535|31133|174
7473|38442|4648
7713|6453|3491
1273|701|54934
3257|3320|11300
136106|38753|2914
31549|205647|31549
5511|12479|203534
49666|25184|48551
3491|3786|7562
31059|31225|9002
31712|286|174
3320|5483|30917
36866|8966|6453
42020|31126|15739
6762|174|37100
49666|25184|34513
47794|3356|174
30844|36965|327730
58453|9927|6939
3356|20764|34123
6762|6939|47394
6453|7713|55687
5511|3215|13223
54994|3491|1299
3257|5511|9009
1299|3356|20764
6762|5511|37541
6762|5511|3215
25229|3326|1299
6762|5511|47794
6453|20485|49107
1221|45349|4638
3491|4637|18403
5511|3215|202757
15412|3491|45543
7991|3561|16645
36498|2914|3491
1273|50973|21183
12778|5435|6764
58453|15399|37100
33765|3491|30844
5511|8697|21088
4637|18403|131365
49666|42440|16322
16637|36890|327799
201942|174|201346
208293|56484|200485
6762|5511|24863
24631|51235|58338
4637|1221|38049
174|12389|33892
3257|3320|58106
29614|1273|3491
26994|4323|3356
174|16735|14868
25184|44889|57577
3216|24936|38912
29076|42149|28917
3257|3320|2792
5511|12479|41074
6762|3491|714
12389|8749|34709
5511|3215|263175
23947|38525|59143
6762|3320|8412
5603|34772|41557
3320|5603|197391
3257|5511|5583
174|3356|12778
3257|3320|29037
12389|43797|201643
3356|1299|19551
6453|174|39386
12695|47440|49675
13178|12389|3356
3257|3320|6855
6849|174|13188
5511|30844|37619
49666|12880|58224
3257|3320|5603
60757|41798|31133
3356|174|39386
3491|17072|32098
30999|4788|6453
9002|31287|6453
49666|12880|42337
3257|3320|15540
8767|1299|174
3257|5511|37461
5511|49666|197207
29614|1273|3356
3320|209781|5400
3257|5511|22808
3257|5511|37233
174|1299|4761
174|8452|37250
5511|47377|207232
6453|174|16735
5511|3215|50758
1273|3491|327814
43754|49100|44090
3491|12389|49575
23520|3491|3257
5483|5588|51275
12389|12668|59641
328983|37012|327853
2914|8717|31014
1299|3491|9498
41798|31133|3356
3257|5511|15962
1299|133385|133524
8412|8666|44453
3320|8412|8666
8359|3356|2914
5511|3215|21272
6461|7473|7474
5639|23520|3491
42020|41833|206360
41689|43754|202468
3356|135607|136515
3257|5511|59378
30855|3216|3356
3491|1273|55410
20485|34139|31133
3257|5511|29075
21320|9199|35346
3257|5511|15383
3257|3320|13530
49666|12880|48147
3257|3320|47661
8866|43561|57344
6762|3320|43193
6461|174|17828
12615|47453|8717
5511|174|36958
8966|39273|5416
3356|12389|56634
12389|30767|30856
30844|37183|31856
3257|3320|34247
1299|174|8926
44901|6762|2914
59796|199524|174
6461|7473|17639
3320|5483|15555
3491|30844|36965
3257|3320|204138
