9927|135607|3491
6762|30844|37619
8359|3356|3491
8879|3320|9145
3491|19551|133617
6453|1299|6939
3356|1299|5588
17639|9821|20940
1299|174|22652
3491|20485|12555
30844|327799|327879
3356|16637|36974
43391|34619|8589
37282|3356|5511
174|5511|3216
7004|61522|19228
3356|12389|58026
47968|50509|6939
18734|6461|6453
12735|174|6453
198052|31133|1299
199599|20485|3491
20485|42861|47645
20764|3216|174
52873|12956|6762
3356|3910|3561
6939|36920|37377
23930|3491|174
28917|25143|25529
20485|3491|20940
31133|1299|12389
6461|3491|4651
3491|55410|18207
8657|174|37613
209|721|27064
10429|264255|26615
3356|174|267613
3356|5606|58247
5391|3320|1902
21252|12389|3356
6461|6453|8151
174|22652|30180
1299|2914|35916
174|135607|136515
3356|5511|37662
3356|9002|9304
10886|11956|3477
61135|6762|174
198052|31133|174
3491|7533|9676
12389|16300|49939
38442|6939|1299
3356|174|56813
37100|6453|2914
3356|2914|17054
28329|52752|264237
6453|34224|198003
15399|58453|1299
4809|1299|2914
3561|7991|2914
174|3356|196709
8447|8717|3356
7473|3491|17639
174|47794|202105
3910|3561|10855
26881|7029|6453
174|1299|6939
30936|12389|3257
40633|6648|131276
7473|6461|2914
5769|1299|6453
57344|1273|174
1299|174|3216
3491|9299|134802
9927|58453|3491
1299|8866|35464
27884|23520|6939
12389|3356|12430
2764|38561|2914
174|3356|2152
43722|48918|174
53163|52873|12956
174|6713|25543
23944|6939|6762
22457|577|1239
3491|6939|23947
1299|174|53951
61678|8167|7738
3491|3356|20485
3356|1299|1273
367|575|306
2914|9121|25145
36866|37662|9498
1299|174|267613
1299|12389|12668
3216|3356|9002
202984|25227|57724
58453|3491|21859
3491|174|135607
1299|6453|852
15808|37100|3257
174|6762|33765
4648|9241|45349
3257|174|30990
4761|58453|3491
9304|4637|6461
135607|3491|1239
3216|28840|12389
62081|3356|1299
174|1299|8262
3257|9498|37531
6762|1299|48237
2914|4134|59605
3491|17639|14201
16399|2828|63413
20485|48940|31133
29076|48422|6939
1273|174|17639
12297|3356|1299
3320|9145|50800
174|327814|37087
15412|9304|55821
8641|20764|20485
16637|37594|36892
58453|9927|135607
3356|22351|37205
58453|40065|2914
4775|1299|3491
36498|2914|3491
4775|6453|3491
58453|9304|137406
55644|3491|15412
7552|4637|6461
174|60171|328196
8657|174|327814
3491|12389|16300
1273|3491|38623
15743|1299|3356
20485|6762|20940
174|34056|44668
34927|12817|29317
6762|48237|35819
18187|4779|9304
6762|52871|262687
209|3561|15072
1299|6939|53486
55821|174|3356
28513|3491|174
52468|18747|27932
16019|1273|174
12389|3356|2914
264255|26615|6762
38561|2914|4648
28513|3549|6762
9583|58678|9498
135607|3491|174
2914|7552|131438
55644|55410|1273
3491|3356|9304
174|12956|3352
58453|40065|4635
2914|4651|136975
17639|135345|137406
174|6327|15102
35401|12389|3257
3356|135607|136515
10778|7004|6505
3257|28917|25143
20485|21252|12389
1299|6939|37662
9002|5391|3320
43061|174|1299
25145|3356|2914
6762|5511|28683
20764|3356|174
136975|10099|136255
23520|3491|52468
39737|1299|3356
33771|3356|16637
37662|9498|6453
25543|174|3257
57344|43561|34224
12389|3257|3491
3491|9498|24560
7991|3561|395516
15412|18101|9885
174|6762|5603
37248|37468|3549
1273|3491|12389
12297|3356|196709
8262|204281|50837
25319|39279|28990
2914|3223|132422
3257|12389|8641
209|3561|19300
3356|16637|37594
7552|3491|45899
15932|2914|3491
42442|3356|2914
6453|174|16735
26464|1299|26464
174|25229|56558
174|53062|262957
3491|132167|136480
6461|3491|45896
8167|7738|62663
1299|20485|34139
7738|11271|60725
2914|136168|132148
10778|22661|7004
6453|852|395075
135607|174|3491
3216|1273|3491
53163|262687|53163
209|3561|46885
43766|6762|1299
4651|3491|2914
9924|3491|7533
132876|136975|133524
34385|1299|2914
3356|1299|26464
10778|61522|21838
12389|43797|201643
6762|174|12180
37282|174|1299
58453|1299|6453
9304|137996|9299
27884|23520|3491
7473|136106|46062
1299|5603|39872
3491|20485|8641
3356|174|6764
6461|2914|4648
44901|8866|206511
5511|9304|38278
9304|55821|17970
1273|1299|18403
3491|20485|197535
1299|9049|44158
4230|28513|3491
174|7195|13786
53237|52320|4230
3356|22822|19905
135905|131418|131435
31133|28968|47193
6762|174|7195
42926|61135|6762
40065|2914|9121
131219|6453|174
1299|174|32102
31133|6762|174
7991|3561|22283
36866|8966|3257
7552|1273|3491
1273|3356|37282
8717|3356|44814
3356|39279|25319
203329|2914|8220
3356|209|721
43766|6762|174
6505|19338|19411
55821|9304|1273
174|1299|56308
1299|3257|28917
12310|174|3356
3356|8708|42568
17639|714|6185
12956|27757|28006
3491|15412|18101
12389|21103|8440
58678|9498|3491
5769|1299|174
43766|6762|48237
45430|3491|3356
262687|53163|52873
43561|174|1299
135607|45499|137406
3257|1299|6939
4775|1273|1299
8717|6777|57344
4635|9304|137406
35297|174|34056
264159|53237|52320
6939|6762|15412
9299|3491|55480
6939|53486|46641
2914|4809|136168
12389|3356|3491
6453|8151|15236
9002|44628|28917
28840|31133|174
39904|16019|1273
174|852|395075
9299|137406|9304
6762|3216|56939
31133|42526|57947
174|12778|5435
136106|38525|9340
7473|38442|6939
6453|1299|8866
6939|3356|9002
1299|6939|37273
20485|3491|12389
1299|8262|204281
3356|196709|201986
209|3561|53687
209|3561|14870
8641|20764|3356
3356|1299|133385
174|17639|136503
