2021,1299,3356,5606,1.9473684210526316,1.9473684210526316,2.736842105263158,284672,41799616,98561,2236,6116,274,2148,6011,163,2,2,2,1,4,4,4,0.022415387016604435,0.00331257182613383,0.2544851741932034,0.029461093171553186,0.0926488849322527,0.0011346243627110212,0.42518785480413634,0.4412704815337697,0.3580418332027492,0.022415387016604435,0.00331257182613383,0.2544851741932034,7,6,7,0.027723114472764147,0.022148272135680373,0.009261299117194598,70,67,101,9936,40517,3281,0.03866305214967175,0.019595224592836476,0.11787750454724502,56010,61944,9518,0
2021,3491,55821,17970,1.9473684210526316,2.8421052631578947,3.6842105263157894,1268992,56832,72448,743,52,3,645,28,3,2,2,2,3,3,1,4,0.05516355708082263,0.39441930618401205,0.3333333333333333,0.006565498960543264,7.84956490147952e-05,2.77000637101465e-05,0.3916784203102962,0.33502542781840455,0.2665303289823401,0.05516355708082263,0.39441930618401205,0.3333333333333333,7,8,8,0.008662939763336378,0.0015670845812464874,1.9004337096087656e-05,34,29,2,3324,260,143,0.03472725917669934,0.10085814568145614,0.08359133126934984,15206,523,1,0
2021,3356,1299,9049,1.9473684210526316,1.9473684210526316,2.9473684210526314,41799616,284672,25856,6116,2236,817,6011,2148,445,2,2,2,1,4,1,4,0.00331257182613383,0.022415387016604435,0.3064355485156119,0.0926488849322527,0.029461093171553186,0.0050169711994359325,0.4412704815337697,0.42518785480413634,0.3487059118986559,0.00331257182613383,0.022415387016604435,0.3064355485156119,6,7,7,0.022148272135680373,0.027723114472764147,0.04231941562010526,67,70,27,40517,9936,529,0.019595224592836476,0.03866305214967175,0.239826526710135,61944,56010,102146,0
2022,3257,3320,34984,1.9473684210526316,1.9473684210526316,2.6842105263157894,3765824,36038912,2137856,2072,667,257,2005,636,247,2,2,2,5,4,5,4,0.011758723612900339,0.034298166232199216,0.005015807392996109,0.021996343066988146,0.005839908730447754,0.004224413814887996,0.40058099905871664,0.37214479919991555,0.32890055565179155,0.011758723612900339,0.034298166232199216,0.005015807392996109,7,7,7,0.014945467988458616,0.008151641766777795,0.0005638943232504256,56,37,7,22193,795985,7533,0.022506449554952325,0.03305523905874668,0.004316030676801789,25229,7618,165,0
2022,5511,6762,5603,1.9473684210526316,1.9473684210526316,2.789473684210526,544768,120576,1803776,295,611,169,283,596,138,2,2,2,5,4,5,4,0.09816672431684538,0.05968715623406939,0.06135531135531135,0.0023887438016281922,0.00843195233593894,0.0018809816932674147,0.37512918194897565,0.39460810436339605,0.3483593253828241,0.09816672431684538,0.05968715623406939,0.06135531135531135,6,6,7,0.006798310836723011,0.010532606879007936,0.00303079405735033,21,33,38,1060,7242,6457,0.046907153633906344,0.03976881593806133,0.04050031565821855,4257,11123,871,0
2021,3356,1299,133385,1.9473684210526316,1.9473684210526316,2.8947368421052633,41799616,284672,18688,6116,2236,50,6011,2148,23,2,2,2,1,4,4,4,0.00331257182613383,0.022415387016604435,0.3902040816326531,0.0926488849322527,0.029461093171553186,0.00024255508412591385,0.4412704815337697,0.42518785480413634,0.3369312110054925,0.00331257182613383,0.022415387016604435,0.3902040816326531,6,7,8,0.022148272135680373,0.027723114472764147,0.0016622604058026175,67,70,31,40517,9936,55,0.019595224592836476,0.03866305214967175,0.09992497041086626,61944,56010,478,0
2023,44628,28917,3257,3.1052631578947367,2.789473684210526,1.9473684210526316,2304,55040,4610816,17,1434,2818,9,389,1997,2,2,2,5,4,3,4,0.6470588235294118,0.11665065632661482,0.015671605503743493,5.3415513796984047e-05,0.003229596053821379,0.023338677657478272,0.32923340584008964,0.38794563106796115,0.41334679488240456,0.6470588235294118,0.11665065632661482,0.015671605503743493,7,7,7,0.0018267000922854344,0.05220655756343863,0.03389835020823279,11,108,56,64,1699,22193,0.20515328486637266,0.11383841688860616,0.03295238539339158,88,119854,62203,0
2022,6453,174,6327,1.9473684210526316,1.9473684210526316,2.6315789473684212,608512,28837632,14318592,663,6613,258,664,6630,244,2,2,2,5,1,4,4,0.04743156849074745,0.0024962289442718054,0.03640696166259464,0.008965913827467979,0.10987669369016072,0.0027162516032869346,0.38814834228803563,0.4304899105289778,0.3593617300067457,0.04743156849074745,0.0024962289442718054,0.03640696166259464,6,7,7,0.009809941651490744,0.02598193298216,0.002552991799038404,30,57,19,4423,59440,134448,0.0373030535918896,0.016875991120557036,0.017901093493486318,10409,54574,1207,0
2022,174,31133,42861,1.9473684210526316,2.6842105263157894,2.9473684210526314,28837632,894464,5376,6613,1741,551,6630,644,54,2,2,2,3,3,5,4,0.0024962289442718054,0.0992321759855282,0.6178122422042567,0.10987669369016072,0.011981676447399265,0.0003353841717116509,0.4304899105289778,0.4005658305429485,0.35038682660231385,0.0024962289442718054,0.0992321759855282,0.6178122422042567,7,7,7,0.02598193298216,0.06018593706774037,0.047076218397108335,57,108,85,59440,1338,55,0.016875991120557036,0.08906190637014845,0.28895833316639924,54574,150304,93614,0
2021,4775,1273,1299,2.526315789473684,2.1578947368421053,1.9473684210526316,652800,1871616,284672,260,309,2236,178,295,2148,2,2,2,3,4,5,4,0.1787050787050787,0.08935401168410877,0.022415387016604435,0.0015079041339671868,0.0026994947029713293,0.029461093171553186,0.3716484364946596,0.37445479957887967,0.42518785480413634,0.1787050787050787,0.08935401168410877,0.022415387016604435,7,7,7,0.00666564371782871,0.004888957419112811,0.027723114472764147,90,21,70,8336,6910,9936,0.07043433431268975,0.03761252504005309,0.03866305214967175,6017,4252,56010,0
